(1, 1, 1, 1, 0, 1, 1, 1, 1, 1) : 1 
(1, 1, 1, 1, 1, 0, 1, 1, 1, 1) : 1 
(0, 1, 1, 1, 1, 0, 1, 1, 1, 1) : 30 
(0, 1, 1, 1, 1, 0, 1, 1, 0, 1) : 35 
(0, 1, 1, 1, 1, 0, 1, 0, 1, 1) : 54 
(0, 1, 1, 1, 0, 1, 1, 0, 1, 1) : 113 
(0, 1, 1, 0, 1, 1, 1, 0, 1, 1) : 133 
(0, 1, 1, 0, 1, 0, 1, 0, 1, 1) : 197 
(0, 1, 1, 0, 1, 0, 1, 0, 0, 1) : 39 
(0, 1, 1, 1, 0, 1, 1, 0, 0, 1) : 29 
(0, 1, 1, 1, 0, 1, 1, 0, 0, 0) : 1 
(0, 0, 1, 1, 0, 1, 1, 0, 0, 0) : 2 
(0, 1, 0, 1, 0, 1, 1, 0, 0, 0) : 10 
(0, 1, 0, 1, 1, 0, 1, 0, 0, 0) : 9 
(0, 1, 0, 1, 1, 1, 0, 1, 0, 0) : 9 
(0, 1, 0, 1, 1, 0, 1, 1, 0, 0) : 4 
(0, 1, 1, 0, 1, 1, 0, 1, 0, 0) : 14 
(0, 1, 0, 1, 0, 1, 0, 1, 0, 0) : 10 
(0, 1, 1, 0, 1, 0, 1, 1, 0, 0) : 3 
(0, 1, 0, 0, 1, 0, 1, 1, 0, 0) : 1 
(0, 1, 0, 0, 1, 0, 1, 0, 1, 0) : 6 
(0, 1, 0, 0, 1, 1, 0, 1, 1, 0) : 14 
(0, 1, 0, 0, 1, 1, 0, 1, 0, 0) : 1 
(0, 1, 0, 0, 1, 1, 1, 0, 1, 0) : 8 
(0, 1, 0, 1, 0, 1, 1, 0, 1, 0) : 20 
(0, 1, 1, 0, 1, 1, 1, 0, 1, 0) : 13 
(0, 1, 1, 0, 1, 0, 1, 0, 1, 0) : 25 
(0, 1, 1, 0, 1, 0, 1, 1, 0, 1) : 119 
(0, 1, 1, 0, 0, 0, 1, 1, 0, 1) : 7 
(0, 1, 0, 1, 0, 0, 1, 1, 0, 1) : 21 
(1, 0, 1, 1, 0, 0, 1, 1, 0, 1) : 6 
(1, 1, 0, 1, 0, 0, 1, 1, 0, 1) : 29 
(1, 1, 0, 1, 0, 0, 0, 1, 0, 1) : 12 
(0, 1, 0, 1, 0, 0, 0, 1, 0, 1) : 10 
(0, 1, 0, 1, 0, 0, 1, 0, 1, 1) : 31 
(1, 1, 0, 1, 0, 0, 1, 0, 1, 0) : 26 
(1, 1, 0, 1, 0, 1, 0, 1, 0, 1) : 121 
(1, 1, 0, 1, 0, 1, 1, 0, 1, 1) : 56 
(1, 1, 0, 1, 0, 1, 0, 1, 1, 1) : 23 
(0, 1, 0, 1, 0, 1, 0, 1, 1, 1) : 83 
(0, 1, 0, 1, 1, 0, 1, 1, 1, 1) : 58 
(1, 0, 1, 1, 1, 0, 1, 1, 1, 1) : 14 
(1, 1, 1, 1, 1, 0, 1, 1, 1, 0) : 25 
(1, 1, 1, 1, 1, 1, 0, 1, 1, 0) : 7 
(1, 1, 1, 1, 1, 1, 1, 0, 1, 0) : 2 
(1, 1, 1, 0, 1, 1, 1, 0, 1, 0) : 82 
(1, 1, 1, 0, 1, 1, 0, 1, 1, 0) : 113 
(1, 1, 0, 0, 1, 1, 0, 1, 1, 0) : 10 
(1, 0, 1, 0, 1, 1, 0, 1, 1, 0) : 157 
(0, 1, 1, 0, 1, 1, 0, 1, 1, 1) : 116 
(0, 1, 1, 0, 1, 1, 0, 1, 0, 1) : 143 
(0, 1, 1, 1, 0, 1, 0, 1, 1, 1) : 60 
(0, 1, 1, 1, 0, 1, 0, 1, 0, 1) : 107 
(1, 0, 1, 1, 0, 1, 0, 1, 0, 1) : 161 
(1, 1, 1, 0, 1, 1, 0, 1, 0, 1) : 60 
(1, 1, 0, 0, 1, 1, 0, 1, 0, 1) : 4 
(1, 1, 0, 0, 1, 1, 0, 1, 0, 0) : 5 
(1, 1, 0, 0, 1, 0, 1, 1, 0, 0) : 3 
(1, 0, 1, 0, 1, 0, 1, 1, 0, 0) : 21 
(1, 0, 1, 0, 1, 1, 0, 1, 0, 0) : 15 
(1, 1, 0, 1, 1, 1, 0, 1, 0, 0) : 16 
(1, 0, 1, 1, 1, 1, 0, 1, 0, 0) : 10 
(0, 1, 1, 1, 0, 1, 0, 0, 0, 1) : 16 
(1, 0, 1, 1, 0, 1, 0, 0, 0, 1) : 11 
(1, 0, 1, 0, 1, 1, 0, 0, 0, 1) : 7 
(1, 0, 1, 0, 1, 0, 1, 0, 0, 1) : 20 
(1, 1, 0, 1, 1, 0, 1, 0, 0, 1) : 9 
(1, 1, 0, 1, 1, 1, 0, 1, 0, 1) : 91 
(1, 1, 0, 1, 1, 1, 0, 1, 1, 0) : 146 
(1, 0, 1, 1, 1, 1, 0, 1, 1, 0) : 51 
(1, 0, 1, 1, 1, 0, 1, 1, 1, 0) : 68 
(1, 0, 1, 1, 1, 0, 1, 1, 0, 1) : 92 
(1, 1, 0, 1, 1, 0, 1, 1, 0, 1) : 103 
(0, 1, 0, 1, 1, 0, 1, 1, 0, 1) : 130 
(1, 0, 1, 1, 1, 1, 0, 1, 0, 1) : 56 
(1, 0, 1, 0, 1, 1, 0, 1, 0, 1) : 132 
